SPAC1002.01	SPBC106.01	SPCC1020.01c	SPMIT.01
SPAC1002.02	SPBC106.02c	SPCC1020.02	SPMIT.02
SPAC1002.03c	SPBC106.03	SPCC1020.03	SPMIT.03
SPAC1002.04c	SPBC106.04	SPCC1020.04c	SPMIT.04
SPAC1002.05c	SPBC106.05c	SPCC1020.05	SPMIT.05
SPAC1002.06c	SPBC106.06	SPCC1020.06c	SPMIT.06
SPAC1002.07c	SPBC106.07c	SPCC1020.07	SPMIT.07
SPAC1002.08c	SPBC106.08c	SPCC1020.08	SPMIT.08
SPAC1002.09c	SPBC106.09	SPCC1020.09	SPMIT.09
SPAC1002.10c	SPBC106.10	SPCC1020.10	SPMIT.10
SPAC1002.11	SPBC106.11c	SPCC1020.11c	SPMIT.11
SPAC1002.12c	SPBC106.12c	SPCC1020.12c	SPMTR.01
SPAC1002.13c	SPBC106.13	SPCC1020.13c	SPMTR.02
SPAC1002.14	SPBC106.14c	SPCC1020.14	
SPAC1002.15c	SPBC106.15	SPCC10H11.01	
SPAC1002.16c	SPBC106.16	SPCC10H11.02	
SPAC1002.17c	SPBC106.17c	SPCC1183.01	
SPAC1002.18	SPBC106.18	SPCC1183.02	
SPAC1002.19	SPBC106.19	SPCC1183.03c	
SPAC1002.20	SPBC106.20	SPCC1183.04c	
SPAC1006.01	SPBC1105.01	SPCC1183.05c	
SPAC1006.02	SPBC1105.02c	SPCC1183.06	
SPAC1006.03c	SPBC1105.03c	SPCC1183.07	
SPAC1006.04c	SPBC1105.04c	SPCC1183.08c	
SPAC1006.05c	SPBC1105.05	SPCC1183.09c	
SPAC1006.06	SPBC1105.06	SPCC1183.10	
SPAC1006.07	SPBC1105.07c	SPCC1183.11	
SPAC1006.08	SPBC1105.08	SPCC1183.12	
SPAC1006.09	SPBC1105.09	SPCC11E10.01	
SPAC1039.01	SPBC1105.10	SPCC11E10.02c	
SPAC1039.02	SPBC1105.11c	SPCC11E10.03	
SPAC1039.03	SPBC1105.12	SPCC11E10.04	
SPAC1039.04	SPBC1105.13c	SPCC11E10.05c	
SPAC1039.05c	SPBC1105.14	SPCC11E10.06c	
SPAC1039.06	SPBC1105.15c	SPCC11E10.07c	
SPAC1039.07c	SPBC1105.16c	SPCC11E10.08	
SPAC1039.08	SPBC1105.17	SPCC11E10.09c	
SPAC1039.09	SPBC1105.18c	SPCC1223.01	
SPAC1039.10	SPBC1105.19	SPCC1223.02	
SPAC1039.11c	SPBC115.01c	SPCC1223.03c	
SPAC105.01c	SPBC115.02c	SPCC1223.04c	
SPAC105.02c	SPBC115.03	SPCC1223.05c	
SPAC105.03c	SPBC119.01	SPCC1223.06	
SPAC1071.01c	SPBC119.02	SPCC1223.07c	
SPAC1071.02	SPBC119.03	SPCC1223.08c	
SPAC1071.03c	SPBC119.04	SPCC1223.09	
SPAC1071.04c	SPBC119.05c	SPCC1223.10c	
SPAC1071.05	SPBC119.06	SPCC1223.11	
SPAC1071.06	SPBC119.07	SPCC1223.12c	
SPAC1071.07c	SPBC119.08	SPCC1223.13	
SPAC1071.08	SPBC119.09c	SPCC1223.14	
SPAC1071.09c	SPBC119.10	SPCC1223.15c	
SPAC1071.10c	SPBC119.11c	SPCC1235.01	
SPAC1071.11	SPBC119.12	SPCC1235.02	
SPAC1071.12c	SPBC119.13c	SPCC1235.03	
SPAC1071.13	SPBC119.14	SPCC1235.04c	
SPAC1093.01	SPBC119.15	SPCC1235.05c	
SPAC1093.02	SPBC119.16c	SPCC1235.06	
SPAC1093.03	SPBC119.17	SPCC1235.07	
SPAC1093.04c	SPBC119.18	SPCC1235.08c	
SPAC1093.05	SPBC1198.01	SPCC1235.09	
SPAC1093.06c	SPBC1198.02	SPCC1235.10c	
SPAC1093.07	SPBC1198.03c	SPCC1235.11	
SPAC10F6.01c	SPBC1198.04c	SPCC1235.12c	
SPAC10F6.02c	SPBC1198.05	SPCC1235.13	
SPAC10F6.03c	SPBC1198.06c	SPCC1235.14	
SPAC10F6.04	SPBC1198.07c	SPCC1235.15	
SPAC10F6.05c	SPBC1198.08	SPCC1235.16	
SPAC10F6.06	SPBC1198.09	SPCC1235.17	
SPAC10F6.07c	SPBC1198.10c	SPCC1235.18	
SPAC10F6.08c	SPBC1198.11c	SPCC1259.01c	
SPAC10F6.09c	SPBC1198.12	SPCC1259.02c	
SPAC10F6.10	SPBC1198.13c	SPCC1259.03	
SPAC10F6.11c	SPBC1198.14c	SPCC1259.04	
SPAC10F6.12c	SPBC11B10.01	SPCC1259.05c	
SPAC10F6.13c	SPBC11B10.02c	SPCC1259.06	
SPAC10F6.14c	SPBC11B10.03	SPCC1259.07	
SPAC10F6.15	SPBC11B10.04c	SPCC1259.08	
SPAC10F6.16	SPBC11B10.05c	SPCC1259.09c	
SPAC10F6.17c	SPBC11B10.06	SPCC1259.10	
SPAC110.01	SPBC11B10.07c	SPCC1259.11c	
SPAC110.02	SPBC11B10.08	SPCC1259.12c	
SPAC110.03	SPBC11B10.09	SPCC1259.13	
SPAC110.04c	SPBC11B10.10c	SPCC1259.14c	
SPAC110.06	SPBC11C11.01	SPCC1259.15c	
SPAC1142.01	SPBC11C11.02	SPCC1259.16	
SPAC1142.02c	SPBC11C11.03	SPCC126.01c	
SPAC1142.03c	SPBC11C11.04c	SPCC126.02c	
SPAC1142.04	SPBC11C11.05	SPCC126.03	
SPAC1142.05	SPBC11C11.06c	SPCC126.04c	
SPAC1142.06	SPBC11C11.07	SPCC126.05c	
SPAC1142.07c	SPBC11C11.08	SPCC126.06	
SPAC1142.08	SPBC11C11.09c	SPCC126.07c	
SPAC1142.09	SPBC11C11.10	SPCC126.08c	
SPAC11D3.01c	SPBC11C11.11c	SPCC126.09	
SPAC11D3.02c	SPBC11G11.01	SPCC126.10	
SPAC11D3.03c	SPBC11G11.02c	SPCC126.11c	
SPAC11D3.04c	SPBC11G11.03	SPCC126.12	
SPAC11D3.05	SPBC11G11.04	SPCC126.13c	
SPAC11D3.06	SPBC11G11.05	SPCC126.14	
SPAC11D3.07c	SPBC11G11.06c	SPCC126.15c	
SPAC11D3.08c	SPBC11G11.07	SPCC1281.01	
SPAC11D3.09	SPBC1215.01	SPCC1281.02c	
SPAC11D3.10	SPBC1215.02c	SPCC1281.03c	
SPAC11D3.11c	SPBC1271.01c	SPCC1281.04	
SPAC11D3.13	SPBC1271.02	SPCC1281.05	
SPAC11D3.14c	SPBC1271.03c	SPCC1281.06c	
SPAC11D3.15	SPBC1271.04c	SPCC1281.07c	
SPAC11D3.16c	SPBC1271.05c	SPCC1281.08	
SPAC11D3.17	SPBC1271.06c	SPCC132.01c	
SPAC11D3.18c	SPBC1271.07c	SPCC132.02	
SPAC11D3.19	SPBC1271.08c	SPCC132.03	
SPAC11D3.20	SPBC1271.09	SPCC132.04c	
SPAC11E3.01c	SPBC1271.10c	SPCC132.05c	
SPAC11E3.02c	SPBC1271.11	SPCC1322.01	
SPAC11E3.03	SPBC1271.12	SPCC1322.02	
SPAC11E3.04c	SPBC1271.13	SPCC1322.03	
SPAC11E3.05	SPBC1271.14	SPCC1322.04	
SPAC11E3.06	SPBC1271.15c	SPCC1322.05c	
SPAC11E3.07	SPBC1289.01c	SPCC1322.06	
SPAC11E3.08c	SPBC1289.02c	SPCC1322.07c	
SPAC11E3.09	SPBC1289.03c	SPCC1322.08	
SPAC11E3.10	SPBC1289.04c	SPCC1322.09	
SPAC11E3.11c	SPBC1289.05c	SPCC1322.10	
SPAC11E3.12	SPBC1289.06c	SPCC1322.11	
SPAC11E3.13c	SPBC1289.07c	SPCC1322.12c	
SPAC11E3.14	SPBC1289.08	SPCC1322.13	
SPAC11E3.15	SPBC1289.09	SPCC1322.14c	
SPAC11G7.01	SPBC1289.10c	SPCC1322.15	
SPAC11G7.02	SPBC1289.11	SPCC1322.16	
SPAC11G7.03	SPBC1289.12	SPCC1393.02c	
SPAC11G7.04	SPBC1289.13c	SPCC1393.03	
SPAC11G7.05c	SPBC1289.14	SPCC1393.04	
SPAC11G7.06c	SPBC1289.15	SPCC1393.05	
SPAC11H11.01	SPBC1289.16c	SPCC1393.06c	
SPAC11H11.02c	SPBC1289.17	SPCC1393.07c	
SPAC11H11.03c	SPBC12C2.01c	SPCC1393.08	
SPAC11H11.04	SPBC12C2.02c	SPCC1393.09c	
SPAC11H11.05c	SPBC12C2.03c	SPCC1393.10	
SPAC11H11.06	SPBC12C2.04	SPCC1393.11	
SPAC1250.01	SPBC12C2.05c	SPCC1393.12	
SPAC1250.02	SPBC12C2.06	SPCC1393.13	
SPAC1250.03	SPBC12C2.07c	SPCC1393.14	
SPAC1250.04c	SPBC12C2.08	SPCC13B11.01	
SPAC1250.05	SPBC12C2.09c	SPCC13B11.02c	
SPAC1250.07	SPBC12C2.10c	SPCC13B11.03c	
SPAC1296.01c	SPBC12C2.11	SPCC13B11.04c	
SPAC1296.02	SPBC12C2.12c	SPCC1442.01	
SPAC1296.03c	SPBC12C2.13c	SPCC1442.02	
SPAC1296.04	SPBC12C2.14c	SPCC1442.03	
SPAC1296.05c	SPBC12D12.01	SPCC1442.04c	
SPAC1296.06	SPBC12D12.02c	SPCC1442.05c	
SPAC12B10.01c	SPBC12D12.03	SPCC1442.06	
SPAC12B10.02c	SPBC12D12.04c	SPCC1442.07c	
SPAC12B10.03	SPBC12D12.05c	SPCC1442.08c	
SPAC12B10.04	SPBC12D12.06	SPCC1442.09	
SPAC12B10.05	SPBC12D12.07c	SPCC1442.10c	
SPAC12B10.06c	SPBC12D12.08c	SPCC1442.11c	
SPAC12B10.07	SPBC12D12.09	SPCC1442.12	
SPAC12B10.08c	SPBC1306.01c	SPCC1442.13c	
SPAC12B10.09	SPBC1306.02	SPCC1442.14c	
SPAC12B10.10	SPBC1347.01c	SPCC1442.15c	
SPAC12B10.11	SPBC1347.02	SPCC1442.16c	
SPAC12B10.12c	SPBC1347.03	SPCC1442.17c	
SPAC12B10.13	SPBC1347.04	SPCC1442.19	
SPAC12B10.14c	SPBC1347.05c	SPCC1450.01c	
SPAC12B10.15c	SPBC1347.06c	SPCC1450.02	
SPAC12B10.16c	SPBC1347.07	SPCC1450.03	
SPAC12G12.01c	SPBC1347.08c	SPCC1450.04	
SPAC12G12.02	SPBC1347.09	SPCC1450.05c	
SPAC12G12.03	SPBC1347.10	SPCC1450.06c	
SPAC12G12.04	SPBC1347.11	SPCC1450.07c	
SPAC12G12.05c	SPBC1347.12	SPCC1450.08c	
SPAC12G12.06c	SPBC1347.13c	SPCC1450.09c	
SPAC12G12.07c	SPBC1347.14c	SPCC1450.10c	
