SPAC458.05	c101-0	exactMatch	I	4739789	4739813	+	exactMatch	I	4743087	4743063	-	exactMatch	I	4740305	4740281	-	exactMatch	I	4742595	4742622	+	exactMatch	I	4739931	4739955	+	exactMatch	I	4742972	4742948	-
SPAC110.04c	c102-0	exactMatch	I	1920579	1920555	-	exactMatch	I	1919467	1919491	+	exactMatch	I	1920063	1920087	+	exactMatch	I	1919943	1919919	-	exactMatch	I	1920437	1920413	-	exactMatch	I	1919569	1919593	+
SPBC365.13c	c104-0	exactMatch	II	2521155	2521131	-	exactMatch	II	2519121	2519145	+	exactMatch	II	2520668	2520693	+	exactMatch	II	2519595	2519571	-	exactMatch	II	2521043	2521019	-	exactMatch	II	2519221	2519245	+
SPBC3H7.01	c113-a	exactMatch	II	1892106	1892082	-	exactMatch	II	1890579	1890603	+	exactMatch	II	1891594	1891618	+	exactMatch	II	1891057	1891032	-	exactMatch	II	1891968	1891944	-	exactMatch	II	1890682	1890706	+
SPAC631.02	c116-0	exactMatch	I	2107492	2107516	+	exactMatch	I	2110573	2110549	-	exactMatch	I	2107986	2107962	-	exactMatch	I	2110080	2110104	+	exactMatch	I	2107612	2107636	+	exactMatch	I	2110454	2110430	-
SPCC663.01c	c128	exactMatch	III	1629570	1629546	-	exactMatch	III	1627561	1627585	+	exactMatch	III	1629096	1629120	+	exactMatch	III	1628042	1628018	-	exactMatch	III	1629470	1629446	-	exactMatch	III	1627668	1627692	+
SPCC18.04	c130-0-0	exactMatch	III	1959689	1959713	+	exactMatch	III	1963248	1963224	-	exactMatch	III	1960621	1960597	-	exactMatch	III	1962768	1962792	+	exactMatch	III	1960247	1960271	+	exactMatch	III	1963142	1963118	-
SPBC530.13	c137	exactMatch	II	823968	823992	+	exactMatch	II	826175	826151	-	exactMatch	II	824869	824845	-	exactMatch	II	825701	825725	+	exactMatch	II	824495	824519	+	exactMatch	II	826075	826051	-
SPBC20F10.10	c143	exactMatch	II	3302862	3302886	+	exactMatch	II	3304487	3304463	-	exactMatch	II	3303347	3303323	-	exactMatch	II	3304013	3304037	+	exactMatch	II	3302973	3302997	+	exactMatch	II	3304387	3304363	-
SPBC1773.11c	c147-0	exactMatch	II	306916	306892	-	exactMatch	II	304869	304893	+	exactMatch	II	306433	306457	+	exactMatch	II	305375	305351	-	exactMatch	II	306807	306783	-	exactMatch	II	305001	305025	+
SPAC31G5.02	c155	exactMatch	I	2990523	2990547	+	exactMatch	I	2992378	2992354	-	exactMatch	I	2991447	2991423	-	exactMatch	I	2991875	2991900	+	exactMatch	I	2991073	2991097	+	exactMatch	I	2992250	2992226	-
SPAC2G11.02	c156-0	exactMatch	I	807578	807602	+	exactMatch	I	812492	812468	-	exactMatch	I	808567	808542	-	exactMatch	I	812015	812039	+	exactMatch	I	808192	808216	+	exactMatch	I	812389	812365	-
SPAC1782.09c	c162	exactMatch	I	4772109	4772085	-	exactMatch	I	4769541	4769565	+	exactMatch	I	4771632	4771656	+	exactMatch	I	4770016	4769992	-	exactMatch	I	4772006	4771982	-	exactMatch	I	4769642	4769666	+
SPBC725.16	c176	exactMatch	II	1232913	1232937	+	exactMatch	II	1235825	1235801	-	exactMatch	II	1233811	1233787	-	exactMatch	II	1235351	1235375	+	exactMatch	II	1233437	1233461	+	exactMatch	II	1235725	1235701	-
SPCC830.07c	c181	exactMatch	III	2195534	2195510	-	exactMatch	III	2193593	2193617	+	exactMatch	III	2195031	2195055	+	exactMatch	III	2194067	2194043	-	exactMatch	III	2195405	2195381	-	exactMatch	III	2193693	2193717	+
SPBC11B10.07c	c185	exactMatch	II	1497931	1497907	-	exactMatch	II	1495696	1495720	+	exactMatch	II	1497457	1497481	+	exactMatch	II	1496193	1496169	-	exactMatch	II	1497831	1497807	-	exactMatch	II	1495819	1495843	+
SPBC23G7.04c	c191	exactMatch	II	2103932	2103908	-	exactMatch	II	2100996	2101020	+	exactMatch	II	2103458	2103482	+	exactMatch	II	2101499	2101474	-	exactMatch	II	2103832	2103808	-	exactMatch	II	2101124	2101148	+
SPBC557.03c	c2-0	exactMatch	II	2491243	2491219	-	exactMatch	II	2488584	2488608	+	exactMatch	II	2490768	2490792	+	exactMatch	II	2489077	2489053	-	exactMatch	II	2491142	2491118	-	exactMatch	II	2488703	2488727	+
SPBC1703.14c	c226	exactMatch	II	2945030	2945006	-	exactMatch	II	2941640	2941664	+	exactMatch	II	2944556	2944580	+	exactMatch	II	2942118	2942094	-	exactMatch	II	2944930	2944906	-	exactMatch	II	2941744	2941768	+
SPBC543.03c	c227	exactMatch	II	4305764	4305740	-	exactMatch	II	4302696	4302720	+	exactMatch	II	4305280	4305306	+	exactMatch	II	4303179	4303155	-	exactMatch	II	4305656	4305632	-	exactMatch	II	4302805	4302829	+
